Provincia,Unnamed: 1,Localidad,ADSL,CABLEMODEM,Unnamed: 5,FIBRAOPTICA,4G,3G,Unnamed: 9,WIRELESS,Unnamed: 11
BUENOS AIRES,0,0,--,SI,0,0,SI,SI,0,--,--
BUENOS AIRES,General San Martín,Villa Godoy Cruz,0,SI,--,SI,0,SI,--,--,0
0,General San Martín,Villa Granaderos De San Martín,0,0,--,SI,0,0,--,SI,--
BUENOS AIRES,0,Villa Gregoria Matorras,--,SI,0,0,SI,SI,0,0,--
BUENOS AIRES,General San Martín,0,SI,SI,--,0,SI,SI,SI,0,--
0,Mercedes,Gowland,0,--,--,SI,0,SI,--,SI,0
0,Mercedes,Jorge Born,--,0,--,--,--,0,--,SI,0
BUENOS AIRES,Mercedes,0,SI,SI,SI,0,SI,SI,SI,SI,SI
BUENOS AIRES,0,Tomás Jofré,--,--,0,--,--,--,0,0,--
BUENOS AIRES,0,0,SI,SI,0,0,SI,SI,0,SI,0
BUENOS AIRES,Merlo,0,SI,SI,--,0,SI,SI,SI,SI,--
0,Merlo,Merlo,0,0,SI,SI,0,0,SI,0,--
BUENOS AIRES,Merlo,Pontevedra,0,SI,SI,SI,0,SI,SI,0,--
BUENOS AIRES,Merlo,0,SI,SI,SI,0,SI,SI,SI,SI,--
BUENOS AIRES,0,Abbott,--,--,0,SI,SI,SI,0,SI,0
BUENOS AIRES,0,San Miguel del Monte (Est Monte),SI,SI,0,SI,SI,SI,0,0,--
BUENOS AIRES,0,0,--,--,0,0,SI,--,0,0,--
0,Monte Hermoso,Balneario Sauce Grande,SI,0,--,SI,SI,0,SI,--,--
0,Monte Hermoso,Monte Hermoso,0,0,--,SI,0,0,SI,--,0
BUENOS AIRES,Moreno,Cuartel V,0,SI,SI,SI,0,SI,SI,0,--
0,Moreno,Francisco Alvarez,0,0,SI,SI,0,0,SI,SI,--
BUENOS AIRES,Tigre,0,SI,SI,SI,0,SI,SI,SI,SI,0
BUENOS AIRES,0,Don Torcuato Oeste,--,--,0,--,SI,SI,0,SI,0
