Provincia,Partido,,Poblacion,ADSL,CABLEMODEM,,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,,Latitud,Longitud
,Tandil,De la Canal,57,,--,--,--,,SI,--,,--,6791010,"-37,1293125663244",
,COMUNA 04,PARQUE PATRICIOS,,,SI,SI,,,SI,SI,SI,,2000010,"-34,6375496406835","-58,4016756206755"
CHUBUT,,Gaiman,4730,SI,,SI,SI,SI,,,SI,SI,,,"-65,4924135000744"
CHUBUT,,,82,--,,,--,SI,,SI,--,--,,"-42,5683892291525","-68,9190916237139"
CHUBUT,Gastre,El Escorial,,--,--,--,,,--,SI,--,,26049020,"-43,098070041959","-68,5596033354947"
,Gastre,Gastre,602,,--,--,--,,SI,SI,,SI,26049030,"-42,2656204565429",
CHUBUT,Gastre,Lagunita Salada,,--,--,--,,SI,SI,,--,--,,,"-69,1884723935703"
,Gastre,Yala Laubat,37,,--,--,--,,--,--,--,--,,"-42,7671354457615","-68,875421794475"
CHUBUT,Languiñeo,,247,--,--,,--,SI,SI,SI,,--,26056010,"-43,2341165952859",
CHUBUT,,Carrenleufú,317,--,,,--,SI,,SI,--,,26056020,"-43,5856885437306","-71,7009020245021"
ENTRE RIOS,,Hocker,0,--,,--,--,--,,--,--,SI,,"-32,0874958453901","-58,3417058444451"
CABA,,,33623,SI,,,SI,SI,,,SI,SI,,,"-58,5065803391285"
,Río Cuarto,Coronel Moldes,9005,,--,--,--,,--,SI,SI,,14098100,"-33,6230868735031","-64,5971033510391"
,Río Cuarto,Elena,,,--,--,,,SI,SI,,,14098110,"-32,5720684109952",
CORDOBA,,,165,SI,--,,--,SI,SI,,SI,--,14098120,,"-64,7251129655857"
CORDOBA,,La Cautiva,969,--,,--,--,--,,,--,SI,,,"-64,0842989461185"
,Río Cuarto,La Gilda,101,,--,--,,,--,--,,--,14098140,"-33,2082959166527",
