Codigo;Persona
635744;3565
635745;8819
635746;7416
635747;6688
635748;9157
635749;5466
635750;13528
635751;9197
635752;20728
635753;16878
635754;7233
635755;6683
635756;9969
635757;8641
635758;6917
635759;8931
635760;8316
635761;8896
635762;7316
635763;1904
635764;6688
635765;8387
635766;7321
635767;15116
635768;8976
635769;10043
635770;13151
635771;12389
635772;12941
635773;6524
635774;14243
635775;5185
635776;5101
635777;6283
635778;15105
635779;14344
635780;12239
635781;6098
635782;5341
635783;800
636401;16380
636402;10759
636403;13027
636404;12344
636405;2150
636406;217
636407;14357
636408;17951
638501;2000
638502;427
638503;78
638504;287
638505;18
638506;54
638507;12180
638508;151
638509;150
638510;2582
638511;151
639201;13807
639202;179
639203;954
639204;476
639205;149
639206;605
639207;2302
639208;2277
639209;2541
639210;324
639211;90
639212;4794
639213;228
639214;123
639215;2015
639901;4769
639902;149
639903;1316
639904;121
639905;1936
639906;261
639907;2996
639908;278
640601;129
640602;8947
640603;509
641301;9710
641302;12861
641303;8085
641304;10519
641305;9313
641306;10196
641307;257
641309;181
641311;331
641313;6315
641314;5022
641315;1024
641316;22
641318;653
641319;1244
641321;10061
641322;4511
642001;5036
642002;3619
642003;4549
642004;4279
642005;4829
642006;1300
642007;1187
642008;3723
642009;4010
642010;3176
642011;3760
642012;2518
642013;1421
642014;1476
642015;1773
642016;1779
642017;2049
642018;1355
642019;3347
642020;2480
642021;7649
642022;4318
644101;9023
644102;6355
644103;5350
644104;9291
644105;4441
644106;3991
644107;3985
644108;3144
644109;6658
644110;8979
644111;8520
644112;5896
644113;3571
644114;3629
644115;5983
644116;9476
644117;7871
644118;6485
644119;5532
644120;6817
644121;9095
644122;6551
644123;4892
644124;6928
644125;5504
644126;8262
644127;7717
644128;8480
644129;8649
644130;8055
644131;11576
644132;10423
644133;9506
644134;13657
644135;18366
644136;12838
644137;16071
644138;10444
644139;9009
644140;13184
644141;14805
644142;26009
644143;14791
644144;11905
644145;12320
644146;8653
644147;13518
644148;7271
644149;6473
644150;6397
644151;15105
644152;8302
644153;9474
644154;14377
644155;11277
644156;8062
644157;12200
644158;5081
644159;8269
644160;10081
644161;9140
644162;10093
644163;7773
644164;12922
644165;14603
644166;18515
644167;1261
644168;10038
644169;13188
644170;8086
644171;131
644801;358
644802;83
644803;46
644804;39
644805;91
644806;9178
644807;54
644808;67
644809;60
644810;58
644811;62
644812;114
645501;10322
645502;80
645503;134
645504;225
645505;67
645506;710
645507;176
645508;114
645509;96
645510;84
645511;167
645512;184
645513;379
645514;11133
646201;31
646202;157
646203;20
646204;2617
646205;58
646206;473
646207;7877
646208;1331
646209;37
646210;1208
646211;82
646212;2908
646901;11490
646902;11261
646903;318
646904;775
646905;88
646906;6093
646907;100
646908;1828
646909;1863
646910;1332
646911;959
646912;129
646913;3313
646914;194
646915;2065
647601;5728
647602;1782
647603;156
647604;85
647605;258
647606;176
647607;2151
647608;166
647609;180
647610;157
647611;241
647612;383
647613;108
647614;5952
648301;14780
648302;234
648303;1045
648304;14582
648305;1746
648306;507
648307;692
648308;1105
648309;1257
648310;224
649701;9086
649702;1058
649703;10409
649704;6276
649705;14983
649706;9849
649707;5659
649708;12300
649709;103
649710;2348
649711;7665
649712;9277
649713;7368
649714;9892
650501;567
650502;3126
650503;12116
650504;3492
651101;80
651102;124
651103;334
651104;110
651105;8949
651106;478
651107;113
651801;3204
651802;6168
651803;960
651804;301
651805;1303
651806;2857
651807;4966
651808;1520
652501;11389
652502;1797
652503;3250
652504;20060
652505;4598
652506;13087
653201;11338
653202;5834
653203;13656
653204;583
653205;385
653206;117
653207;149
653208;397
653209;10319
653210;1495
653211;463
653212;127
653213;98
653214;6032
653215;12291
654701;157
654702;834
654703;7584
654704;182
654705;245
654706;578
654707;205
654708;350
654709;10899
655301;2695
655302;1692
655303;2112
657401;167
657402;224
657403;355
657404;13498
657405;373
657406;210
657407;1154
657408;823
657409;250
658101;11274
658102;7967
658103;5352
658104;7199
658105;1577
658106;255
658107;3631
658108;2484
658109;199
658110;621
658111;295
658112;406
658113;9355
658114;9460
658115;9997
658116;7036
658117;6146
658118;3048
658119;6631
658801;12651
658802;5803
658803;2170
658804;77
658805;806
658806;146
658807;605
658808;284
658809;12483
658810;1401
658811;73
658812;246
658813;839
658814;817
658815;435
658816;2796
658817;6090
659501;9806
659502;10348
659503;9059
659504;11607
659505;144
659506;564
659507;188
659508;685
659509;157
659510;149
659511;107
659512;105
659513;150
659514;269
659515;131
659516;10628
659517;133
659518;104
659519;9909
659520;765
659521;3498
659522;223
659523;258
659524;9983
659525;10758
659526;13880
659527;8100
660201;163
660202;1177
660203;4880
660204;35
660205;19
660206;20
660207;15
660208;2227
660209;157
660210;29
660211;11249
660212;106
660213;143
660214;702
660215;1
660216;9284
660901;9078
